WEP,r,k,Result
2,0.96,3,2.72448784
2,0.96,4,3.49790605235
2,0.96,5,4.21718690485
2,0.96,6,4.88611802644
2,0.96,7,5.50822397217
2,0.96,8,6.08678250159
2,0.96,9,6.62484193396
2,0.96,10,7.12523720607
2,0.97,1,1
2,0.97,2,1.9021
2,0.97,3,2.74183141
2,0.97,4,3.52275990366
2,0.97,5,4.24902400869
2,0.97,6,4.92444960946
2,0.97,7,5.55259541865
2,0.97,8,6.13677102118
2,0.97,9,6.68005433153
2,0.97,10,7.18530781016
2,0.98,1,1
2,0.98,2,1.9114
2,0.98,3,2.75934796
2,0.98,4,3.54793312794
2,0.98,5,4.28131745382
2,0.98,6,4.96336487466
2,0.98,7,5.59766897608
2,0.98,8,6.1875717904
2,0.98,9,6.73618140772
2,0.98,10,7.24638835183
2,0.99,1,1
2,0.99,2,1.9207
2,0.99,3,2.77703749
2,0.99,4,3.57343055134
2,0.99,5,4.31407610587
2,0.99,6,5.00287647152
2,0.99,7,5.64346081156
2,0.99,8,6.23920424781
2,0.99,9,6.79324564352
2,0.99,10,7.30850414153
3,0.88,1,1
3,0.88,2,1.66
3,0.88,3,2.1631
3,0.88,4,2.539696
3,0.88,5,2.82220861
3,0.88,6,3.0340871626
3,0.88,7,3.19299660849
3,0.88,8,3.31217864508
3,0.88,9,3.40156517683
3,0.88,10,3.46860507525
3,0.89,1,1
3,0.89,2,1.6675
3,0.89,3,2.17493125
3,0.89,4,2.55494317188
3,0.89,5,2.83999843832
3,0.89,6,3.05378606634
3,0.89,7,3.21412710265
3,0.89,8,3.33438285387
3,0.89,9,3.42457466944
3,0.89,10,3.49221853093
3,0.9,1,1
3,0.9,2,1.675
3,0.9,3,2.186875
3,0.9,4,2.570359375
3,0.9,5,2.85800429688
3,0.9,6,3.07373561523
3,0.9,7,3.23553428198
3,0.9,8,3.3568832687
3,0.9,9,3.44789500973
3,0.9,10,3.51615381543
3,0.91,1,1
3,0.91,2,1.6825
3,0.91,3,2.19893125
3,0.91,4,2.58594714063
