WEP,r,k,Result
2,0.96,4,3.68131648
2,0.96,5,4.5755473408
2,0.96,6,5.46977810637
2,0.96,7,6.36400887575
2,0.96,8,7.25823964497
2,0.96,9,8.1524704142
2,0.96,10,9.04670118343
2,0.97,1,1
2,0.97,2,1.9021
2,0.97,3,2.805037
2,0.97,4,3.70794889
2,0.97,5,4.6108615333
2,0.97,6,5.513774154
2,0.97,7,6.41668677538
2,0.97,8,7.31959939674
2,0.97,9,8.2225120181
2,0.97,10,9.12542463946
2,0.98,1,1
2,0.98,2,1.9114
2,0.98,3,2.823172
2,0.98,4,3.73493656
2,0.98,5,4.6467012688
2,0.98,6,5.55846597462
2,0.98,7,6.47023068051
2,0.98,8,7.38199538639
2,0.98,9,8.29376009227
2,0.98,10,9.20552479815
2,0.99,1,1
2,0.99,2,1.9207
2,0.99,3,2.841493
2,0.99,4,3.76228507
2,0.99,5,4.6830771493
2,0.99,6,5.60386922851
2,0.99,7,6.52466130771
2,0.99,8,7.44545338692
2,0.99,9,8.36624546613
2,0.99,10,9.28703754534
3,0.88,1,1
3,0.88,2,1.66
3,0.88,3,2.3308
3,0.88,4,3.000304
3,0.88,5,3.66996352
3,0.88,6,4.3396043776
3,0.88,7,5.00924747469
3,0.88,8,5.67889030304
3,0.88,9,6.34853316364
3,0.88,10,7.01817602036
3,0.89,1,1
3,0.89,2,1.6675
3,0.89,3,2.344075
3,0.89,4,3.01965175
3,0.89,5,3.6953383075
3,0.89,6,4.37101278617
3,0.89,7,5.04668859352
3,0.89,8,5.72236425471
3,0.89,9,6.39803993198
3,0.89,10,7.07371560748
3,0.9,1,1
3,0.9,2,1.675
3,0.9,3,2.3575
3,0.9,4,3.03925
3,0.9,5,3.721075
3,0.9,6,4.4028925
3,0.9,7,5.08471075
3,0.9,8,5.766528925
3,0.9,9,6.4483471075
3,0.9,10,7.13016528925
3,0.91,1,1
3,0.91,2,1.6825
3,0.91,3,2.371075
3,0.91,4,3.05910325
3,0.91,5,3.7471807075
3,0.91,6,4.43525373633
3,0.91,7,5.12332716373
3,0.91,8,5.81140055526
3,0.91,9,6.49947395003
3,0.91,10,7.1875473445
3,0.92,1,1
3,0.92,2,1.69
3,0.92,3,2.3848
3,0.92,4,3.079216
3,0.92,5,3.77366272
3,0.92,6,4.4681069824
3,0.92,7,5.16255144141
3,0.92,8,5.85699588469
3,0.92,9,6.55144032923
3,0.92,10,7.24588477366
3,0.93,1,1
3,0.93,2,1.6975
3,0.93,3,2.398675
3,0.93,4,3.09959275
3,0.93,5,3.8005285075
3,0.93,6,4.50146300448
3,0.93,7,5.20239758969
3,0.93,8,5.90333216872
3,0.93,9,6.60426674819
3,0.93,10,7.30520132763
3,0.94,1,1
3,0.94,2,1.705
3,0.94,3,2.4127
3,0.94,4,3.120238
3,0.94,5,3.82778572
3,0.94,6,4.5353328568
3,0.94,7,5.24288002859
3,0.94,8,5.95042719828
3,0.94,9,6.6579743681
3,0.94,10,7.36552153791
3,0.95,1,1
3,0.95,2,1.7125
3,0.95,3,2.426875
3,0.95,4,3.14115625
3,0.95,5,3.8554421875
3,0.95,6,4.56972789062
3,0.95,7,5.28401360547
3,0.95,8,5.99829931973
3,0.95,9,6.71258503401
3,0.95,10,7.4268707483
3,0.96,1,1
3,0.96,2,1.72
3,0.96,3,2.4412
3,0.96,4,3.162352
3,0.96,5,3.88350592
3,0.96,6,4.6046597632
3,0.96,7,5.32581360947
3,0.96,8,6.04696745562
3,0.96,9,6.76812130178
3,0.96,10,7.48927514793
3,0.97,1,1
3,0.97,2,1.7275
3,0.97,3,2.455675
3,0.97,4,3.18382975
3,0.97,5,3.9119851075
3,0.97,6,4.64014044678
3,0.97,7,5.3682957866
3,0.97,8,6.0964511264
3,0.97,9,6.82460646621
3,0.97,10,7.55276180601
3,0.98,1,1
3,0.98,2,1.735
3,0.98,3,2.4703
3,0.98,4,3.205594
3,0.98,5,3.94088812
3,0.98,6,4.6761822376
3,0.98,7,5.41147635525
3,0.98,8,6.1467704729
3,0.98,9,6.88206459054
3,0.98,10,7.61735870819
3,0.99,1,1
3,0.99,2,1.7425
3,0.99,3,2.485075
3,0.99,4,3.22764925
3,0.99,5,3.9702235075
3,0.99,6,4.71279776492
3,0.99,7,5.45537202235
3,0.99,8,6.19794627978
3,0.99,9,6.9405205372
3,0.99,10,7.68309479463
4,0.88,1,1
4,0.88,2,1.44
4,0.88,3,1.8872
4,0.88,4,2.333536
4,0.88,5,2.77997568
4,0.88,6,3.2264029184
4,0.88,7,3.67283164979
4,0.88,8,4.11926020202
4,0.88,9,4.56568877576
4,0.88,10,5.01211734691
4,0.89,1,1
4,0.89,2,1.445
4,0.89,3,1.89605
4,0.89,4,2.3464345
4,0.89,5,2.796892205
4,0.89,6,3.24734185745
4,0.89,7,3.69779239568
4,0.89,8,4.14824283648
4,0.89,9,4.59869328799
4,0.89,10,5.04914373832
4,0.9,1,1
4,0.9,2,1.45
4,0.9,3,1.905
4,0.9,4,2.3595
4,0.9,5,2.81405
4,0.9,6,3.268595
4,0.9,7,3.7231405
4,0.9,8,4.17768595
4,0.9,9,4.632231405
4,0.9,10,5.0867768595
4,0.91,1,1
4,0.91,2,1.455
4,0.91,3,1.91405
4,0.91,4,2.3727355
